symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,fees,pnl,return_pct,bars_held,entry_reason,exit_reason,score
ETHUSDT,-1,2024-02-02 02:00:00+00:00,2024-02-02 03:00:00+00:00,2844.71280842455,2879.0862216908345,24.95234309410347,57.128878880454295,-914.8260800161901,-1.2083263085288731,3,ensemble_entry,stop_or_trail,0.0
ETHUSDT,-1,2024-02-04 19:00:00+00:00,2024-02-05 02:00:00+00:00,2743.9982565071086,2767.925623118843,25.631534458169035,56.51162674057493,-669.8067485424837,-0.87198913319253,9,ensemble_entry,stop_or_trail,0.0
ETHUSDT,1,2024-02-12 09:00:00+00:00,2024-02-12 16:00:00+00:00,3858.196646248282,3797.9340500040994,17.196940711709814,52.664810265821515,-1088.997105010735,-1.5619368780174003,9,ensemble_entry,stop_or_trail,0.0
SOLUSDT,1,2024-02-12 09:00:00+00:00,2024-02-12 16:00:00+00:00,119.88110995876697,119.57562328056385,522.6485311187055,50.060683957607985,-209.7228475968034,-0.2548246994945158,9,ensemble_entry,stop_or_trail,0.0
BTCUSDT,1,2024-02-12 16:00:00+00:00,2024-02-13 19:00:00+00:00,65888.01760247539,68919.56307645634,1.0439359912599373,56.292194146165826,3108.447235283714,4.601057345921822,29,ensemble_entry,take_profit,0.0
SOLUSDT,1,2024-02-13 23:00:00+00:00,2024-02-14 01:00:00+00:00,120.25922865464769,121.55435186117612,504.1025207775152,48.75953419850537,604.1153389299348,1.076942884980303,4,ensemble_entry,stop_or_trail,0.0
ETHUSDT,1,2024-02-13 21:00:00+00:00,2024-02-14 09:00:00+00:00,3922.5334095033563,3959.4327938102206,16.277523772111785,51.31955689816737,549.311048333104,0.9407028686477359,14,ensemble_entry,stop_or_trail,0.0
ETHUSDT,1,2024-02-14 20:00:00+00:00,2024-02-15 12:00:00+00:00,4028.4295786022426,4008.8542547803245,17.051948776044416,54.82054089014778,-388.61795997597756,-0.48592940350493663,18,ensemble_entry,stop_or_trail,0.0
SOLUSDT,1,2024-02-14 12:00:00+00:00,2024-02-15 18:00:00+00:00,124.16690339076852,131.69806725076666,430.4142433532729,44.0511710957135,3197.4690232748962,6.065355303495523,32,ensemble_entry,take_profit,0.0
BTCUSDT,1,2024-02-14 13:00:00+00:00,2024-02-15 18:00:00+00:00,69797.25017509246,73082.12426750503,0.9857527420565981,56.33749405604877,3181.736149850325,4.706308750233257,31,ensemble_entry,take_profit,0.0
SOLUSDT,1,2024-02-16 05:00:00+00:00,2024-02-16 08:00:00+00:00,129.94407415754407,127.70801056422873,504.9393635663818,52.03947187238538,-1181.1159995749879,-1.7207891993630597,5,ensemble_entry,stop_or_trail,0.0
ETHUSDT,1,2024-02-16 03:00:00+00:00,2024-02-16 10:00:00+00:00,4197.313004998044,4136.659596207183,15.45728185728469,51.5282253950869,-989.0650606805241,-1.4450532690470252,9,ensemble_entry,stop_or_trail,0.0
ETHUSDT,1,2024-02-16 21:00:00+00:00,2024-02-16 23:00:00+00:00,4134.96356389562,4068.3905735909625,16.614776974970933,54.51875977641784,-1160.6141462451994,-1.6100018603776411,4,ensemble_entry,stop_or_trail,0.0
SOLUSDT,-1,2024-02-16 23:00:00+00:00,2024-02-17 06:00:00+00:00,123.15450189702446,116.23578646014784,485.0968096722212,46.450986059430946,3309.7957993993678,5.617915163719878,9,ensemble_entry,take_profit,0.0
SOLUSDT,-1,2024-02-17 17:00:00+00:00,2024-02-17 17:00:00+00:00,115.9832279724872,117.16473037051631,519.2998839855347,48.429483087594406,-661.9835413127423,-1.0186838378988483,2,ensemble_entry,stop_or_trail,0.0
BTCUSDT,-1,2024-02-17 17:00:00+00:00,2024-02-17 18:00:00+00:00,71510.31241694829,72582.68830031136,1.0171160754990336,58.62372295856743,-1149.3544729046234,-1.4996101221184333,3,ensemble_entry,stop_or_trail,0.0
ETHUSDT,1,2024-02-17 19:00:00+00:00,2024-02-17 23:00:00+00:00,4160.688844557253,4090.5642072484084,15.86376367961475,52.35837138981801,-1164.7990457760268,-1.685409313906694,6,ensemble_entry,stop_or_trail,0.0
SOLUSDT,-1,2024-02-18 04:00:00+00:00,2024-02-18 06:00:00+00:00,114.30360317002044,116.30707940898043,547.3833456261847,50.49297878689264,-1147.1625053513776,-1.7527673523816567,4,ensemble_entry,stop_or_trail,0.0
BTCUSDT,-1,2024-02-18 05:00:00+00:00,2024-02-18 22:00:00+00:00,72022.26985287877,68680.49097281568,0.9962351113758298,56.069212240828975,3273.1282425322242,4.639924410726581,19,ensemble_entry,take_profit,0.0
SOLUSDT,-1,2024-02-18 17:00:00+00:00,2024-02-19 07:00:00+00:00,114.57288593940662,114.48726074455251,497.96228110989796,45.625325261644846,-2.9872079116162595,0.0747342568462428,16,ensemble_entry,stop_or_trail,0.0
