timestamp,equity,cash,open_positions
2024-01-01 01:00:00+00:00,100000.0,100000.0,0
2024-01-01 02:00:00+00:00,100000.0,100000.0,0
2024-01-01 03:00:00+00:00,100000.0,100000.0,0
2024-01-01 04:00:00+00:00,100000.0,100000.0,0
2024-01-01 05:00:00+00:00,100000.0,100000.0,0
2024-01-01 06:00:00+00:00,100000.0,100000.0,0
2024-01-01 07:00:00+00:00,100000.0,100000.0,0
2024-01-01 08:00:00+00:00,100000.0,100000.0,0
2024-01-01 09:00:00+00:00,100000.0,100000.0,0
2024-01-01 10:00:00+00:00,100000.0,100000.0,0
2024-01-01 11:00:00+00:00,100000.0,100000.0,0
2024-01-01 12:00:00+00:00,99523.81342822907,99523.81342822907,0
2024-01-01 13:00:00+00:00,99523.81342822907,99523.81342822907,0
2024-01-01 14:00:00+00:00,99523.81342822907,99523.81342822907,0
2024-01-01 15:00:00+00:00,99461.44195804722,99461.44195804722,0
2024-01-01 16:00:00+00:00,99461.44195804722,99461.44195804722,0
2024-01-01 17:00:00+00:00,99461.44195804722,99461.44195804722,0
2024-01-01 18:00:00+00:00,98969.84359243374,98969.84359243374,0
2024-01-01 19:00:00+00:00,98925.82494405532,98937.44721722271,2
2024-01-01 20:00:00+00:00,98607.92412257151,98707.2922026924,1
2024-01-01 21:00:00+00:00,98404.89805144383,98442.16831545785,1
2024-01-01 22:00:00+00:00,98470.12619469641,98442.16831545785,1
2024-01-01 23:00:00+00:00,98577.11291465457,98442.16831545785,1
2024-01-02 00:00:00+00:00,98145.67041772876,98134.16834846114,1
2024-01-02 01:00:00+00:00,98075.0999849595,98134.16834846114,1
2024-01-02 02:00:00+00:00,97821.28273288009,98134.16834846114,1
2024-01-02 03:00:00+00:00,97798.28294118118,98121.75210286501,2
2024-01-02 04:00:00+00:00,97902.782504455,97720.50960562457,1
2024-01-02 05:00:00+00:00,97654.13958238676,97720.50960562457,1
2024-01-02 06:00:00+00:00,97798.40249245091,97720.50960562457,1
2024-01-02 07:00:00+00:00,97769.33230684481,97702.2581003323,2
